dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2023-12-03,1013.44,500,"kcal","136","30",15,12
2023-12-04,955.314,500,"kcal","131","30",14,12
2023-12-05,1039.87,500,"kcal","122","30",15,12
2023-12-06,664.946,500,"kcal","72","30",14,12
2023-12-07,873.816,500,"kcal","128","30",13,12
2023-12-08,1132.97,500,"kcal","133","30",15,12
2023-12-09,1026.39,500,"kcal","144","30",14,12
2023-12-10,747.075,500,"kcal","90","30",13,12
2023-12-11,1378.59,500,"kcal","208","30",17,12
2023-12-12,966.814,500,"kcal","126","30",13,12
2023-12-13,693.752,500,"kcal","62","30",12,12
2023-12-14,937.503,500,"kcal","115","30",15,12
2023-12-15,1017.36,500,"kcal","109","30",14,12
2023-12-16,1005.76,500,"kcal","147","30",14,12
2023-12-17,982.842,500,"kcal","120","30",14,12
2023-12-18,630.137,500,"kcal","33","30",13,12
2023-12-19,735.361,500,"kcal","72","30",14,12
2023-12-20,1069.32,500,"kcal","144","30",12,12
2023-12-21,670.473,500,"kcal","89","30",13,12
2023-12-22,823.949,500,"kcal","103","30",14,12
2023-12-23,1315.19,500,"kcal","148","30",18,12
2023-12-24,1177.2,500,"kcal","149","30",15,12
2023-12-25,610.806,500,"kcal","73","30",12,12
2023-12-26,1321.41,500,"kcal","188","30",17,12
2023-12-27,598.278,500,"kcal","78","30",12,12
2023-12-28,958.268,500,"kcal","129","30",12,12
2023-12-29,684.907,500,"kcal","112","30",12,12
2023-12-30,857.566,500,"kcal","110","30",14,12
2023-12-31,557.891,500,"kcal","73","30",12,12
2024-01-01,830.826,500,"kcal","110","30",14,12
2024-01-02,595.906,500,"kcal","77","30",12,12
2024-01-03,781.898,500,"kcal","90","30",13,12
2024-01-04,812.115,500,"kcal","109","30",13,12
2024-01-05,785.979,500,"kcal","124","30",12,12
2024-01-06,739.731,500,"kcal","99","30",13,12
2024-01-07,660.459,500,"kcal","90","30",12,12
2024-01-08,583.959,500,"kcal","79","30",12,12
2024-01-09,1255.17,500,"kcal","182","30",15,12
2024-01-10,900.534,500,"kcal","133","30",13,12
2024-01-11,524.299,500,"kcal","44","30",13,12
2024-01-12,536.15,500,"kcal","65","30",12,12
2024-01-13,544.613,500,"kcal","64","30",12,12
2024-01-14,843.131,500,"kcal","119","30",12,12
2024-01-15,628.983,500,"kcal","78","30",13,12
